SITE_ID,Visual Check,SITE_TYPE,FACILITY_SITE_NUMBER,SITE_NAME,REGION_NAME,STATE,COUNTY,CITY,SRP_LATITUDE,SRP_LONGITUDE,SRP_ELEVATION,SRPELEVATIONMETHOD,BOUNDARYARTCCID,BOUNDARYARTCCCOMPUTERID,BOUNDARYARTCCNAME,TIEINFSSID,TIEINFSSNAME,ATCT,MAGNETICVARIATION,MAGNETICVARIATIONYEAR,TRAFFICPATTERNALTITUDE,MILITARYJOINTUSE,BEACONSCHEDULE,UNICOMFREQUENCIES,CTAFFREQUENCY,SEGMENTEDCIRCLE,BEACONCOLOR,WINDINDICATOR,ICAOIDENTIFIER,ARFF_CERT_CLASS_CODE,CERT_139_TYPE,AIR_CARRIER_SCHEDULED_SERVICE,ARFF_CERT_MONTH,LANDING_FACILITY_SITE_NUMBER,RUNWAY_STATE_POST_OFFICE_CODE,RUNWAY_ID,PHYSICAL_RUNWAY_LENGTH,PHYSICAL_RUNWAY_WIDTH,RUNWAY_SURFACE_TYPE_CONDITION,Runway Surface,RUNWAY_SURFACE_TREATMENT,PCN,RUNWAY_LIGHTS_EDGE_INTENSITY,BASE_END_IDENTIFIER,RUNWAY_END_TRUE_ALIGNMENT,ILS_TYPE,RIGHT_HAND_TRAFFIC_PATTERN,RUNWAY_MARKINGS_TYPE,RUNWAY_MARKINGS_CONDITION,LATITUDE_RUNWAY_END,LONGITUDE_RUNWAY_END,ELEVATION_RUNWAY_END,THRESHOLD_CROSSING_HEIGHT,VISUAL_GLIDE_PATH_ANGLE,LATITUDE_DISPLACED_THRESHOLD,LONGITUDE_DISPLACED_THRESHLD,ELEVATION_DISPLACED_THRESHOLD,DISPLACED_THRESHOLD,ELEVATION_AT_TOUCHDOWN_ZONE,VISUAL_GLIDE_SLOPE_INDICATORS,RUNWAY_VISUAL_RANGE_EQUIPMENT,RUNWAY_VISIBLE_VALUE_EQUIPMENT,APPROACH_LIGHT_SYSTEM,REIL_AVAILABILITY,RUNWAY_CENTERLINE_LIGHTS_AVAIL,RUNWAY_END_TOUCHDOWN_LIGHTS_AV,CONTROLLING_OBJECT_DESCRIPTION,CONTROLLING_OBJECT_MARKED,OBJECTS_AFFECTING_NAVIGABLE_AS,CONTROLLING_OBJECT_CLEARANCE_S,HEIGHT_ABOVE_RUNWAY,DISTANCE_FROM_RUNWAY_END,CENTERLINE_OFFSET,RECIPROCAL_END_IDENTIFIER,REC_RUNWAY_END_TRUE_ALIGNMENT,REC_ILS_TYPE,RH_TRAFFIC_PATTERN_LANDING_AIR,REC_RUNWAY_MARKINGS_TYPE,REC_RUNWAY_MARKINGS_CONDITION,REC_LATITUDE_PHY_RUNWAY_END,REC_LONGITDE_PHY_RUNWAY_END,REC_ELEVATION_PHY_RUNWAY_END,REC_THRESHOLD_CROSSING_HEIGHT,REC_VISUAL_GLIDE_PATH_ANGLE,REC_LATITUDE_DISP_THRESHOLD,REC_LONGITUDE_DISP_THRESHOLD,REC_ELEVATION_DISP_THRESHOLD,REC_DISPLACED_THRESHOLD,REC_ELEVATION_TOUCHDOWN_ZONE,APPROACH_SLOPE_INDICATOR_EQUIP,REC_RUNWAY_VISUAL_RANGE_EQUIP,REC_RUNWAY_VISIBILITY_VALUE_EQ,REC_APPROACH_LIGHT_SYSTEM,REC_REIL_AVAILABILITY,REC_RUNWAY_CENTERLINE_LIGHTS_A,REC_RUNWAY_END_TOUCHDOWN_LIGHT,END_CONTROLLING_OBJECT_DESCRIP,END_CONTROLLING_OBJECT_MARKED,END_OBJECTS_AFFECTING_NAV_AIR,END_CONTROL_OBJECT_CLEAR_SLOPE,END_CONTROL_OBJECT_HEIGHT_AR,END_CO_DIST_FROM_RUNWAY_END,END_CO_CENTERLINE_OFFSET,RUNWAY_LENGTH_SOURCE,RUNWAY_LENGTH_SOURCE_DATE,RUNWAY_CAPACITY_SINGLE_WHEEL,RUNWAY_CAPACITY_DOUBLE_WHEEL,RUNWAY_CAPACITY_2_DUAL_TANDEM,RUNWAY_CAPACITY_2_DD_TANDEM,BASE_RUNWAY_END_GRADIENT,BASE_RUNWAY_END_GRADIENT_DIR,BASE_RUNWAY_END_POSITION_SRC,BASE_RUNWAY_END_POSITION_SDT,BASE_RUNWAY_END_ELEV_SRC,BASE_RUNWAY_END_ELEV_SDT,BASE_DISP_THESHOLD_POS_SRC,BASE_DISP_THESHOLD_POS_SDT,BASE_DISP_THESHOLD_ELEV_SRC,BASE_DISP_THESHOLD_ELEV_SDT,BASE_TD_ZONE_ELEV_SRC,BASE_TD_ZONE_ELEV_SDT,BASE_TORA,BASE_TODA,BASE_ASDA,BASE_LDA,BASE_LAHSO,BASE_INTERSECTING_RUNWAY_ID,BASE_DESC_NOT_AN_INTER_RUNWAY,BASE_LATITUDE_LAHSO,BASE_LONGITUDE_LAHSO,BASE_LAHSO_SOURCE,BASE_LAHSO_SOURCE_DATE,RECP_RUNWAY_END_GRADIENT,RECP_RUNWAY_END_GRADIENT_DIR,RECP_RUNWAY_END_POSITION_SRC,RECP_RUNWAY_END_POSITION_SDT,RECP_RUNWAY_END_ELEV_SRC,RECP_RUNWAY_END_ELEV_SDT,RECP_DISP_THESHOLD_POS_SRC,RECP_DISP_THESHOLD_POS_SDT,RECP_DISP_THESHOLD_ELEV_SRC,RECP_DISP_THESHOLD_ELEV_SDT,RECP_TD_ZONE_ELEV_SRC,RECP_TD_ZONE_ELEV_SDT,RECP_TORA,RECP_TODA,RECP_ASDA,RECP_LDA,RECP_LAHSO,RECP_INTERSECTING_RUNWAY_ID,RECP_DESC_NOT_AN_INTER_RUNWAY,RECP_LATITUDE_LAHSO,RECP_LONGITUDE_LAHSO,RECP_LAHSO_SOURCE,RECP_LAHSO_SOURCE_DATE,Surface
PCA,,HELIPORT,00756.3*H,PICACHO ARNG,Western-Pacific,AZ,PINAL,PICACHO,32.66330556,-111.48725,1668.8,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,Y,12E,1995,,,,,126.2,N,,Y,KPCA,,,,,00756.3*H,AZ,H2,1501,75,CONC,CONC,,,,H2,,,,,,32.66105556,-111.4876944,1667.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILITARY,5/13/2016 0:00,MILITARY,5/13/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
PCA,,HELIPORT,00756.3*H,PICACHO ARNG,Western-Pacific,AZ,PINAL,PICACHO,32.66330556,-111.48725,1668.8,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,Y,12E,1995,,,,,126.2,N,,Y,KPCA,,,,,00756.3*H,AZ,H1,1501,75,CONC,CONC,,,,H1,,,,,,32.66105556,-111.4885833,1666.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILITARY,5/13/2016 0:00,MILITARY,5/13/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
51AZ,1,HELIPORT,00765.1*H,YAVAPAI RGNL MEDICAL CENTER EAST,Western-Pacific,AZ,YAVAPAI,PRESCOTT VALLEY,34.59183333,-112.3307222,5100,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,,,,,,,,,,Y-L,,,,,,00765.1*H,AZ,H1,60,40,CONC-G,CONC,,,PERI,H1,,,,,,34.59183333,-112.3307222,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,12/11/2006 0:00,,,,,,,FAA-EST IMAGERY,11/6/2015 0:00,OWNER,12/11/2006 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
72AZ,,HELIPORT,00765.01*H,ADAMS PLACE,Western-Pacific,AZ,YAVAPAI,PRESCOTT VALLEY,34.70819444,-112.3336111,5000,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,12E,2000,,,,,,N,,,,,,,,00765.01*H,AZ,H1,50,50,DIRT,DIRT,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIRT
AZ70,,HELIPORT,00765.*H,VERSATILE,Western-Pacific,AZ,YAVAPAI,PRESCOTT VALLEY,34.62722222,-112.3090278,4800,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1990,,,SEE RMK,,,N,CGY,Y,,,,,,00765.*H,AZ,H1,40,20,CONC-TURF,CONC,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
AZ38,0,HELIPORT,00768.02*H,RITTENHOUSE ARMY HELIPORT,Western-Pacific,AZ,PINAL,QUEEN CREEK,33.25138889,-111.5180556,1550,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,12E,1995,,,,,,N,,,,,,,,00768.02*H,AZ,30-Dec,1500,50,ASPH,ASPH,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASPH
AZ58,,HELIPORT,00780.01*H,ROOSEVELT DAM,Western-Pacific,AZ,GILA,ROOSEVELT,33.67086111,-111.1620556,1895,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,12E,1985,,,,,,N,,Y,,,,,,00780.01*H,AZ,H1,70,50,CONC,CONC,,,,H1,,,,,,33.67086111,-111.1620556,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,8/27/2017 0:00,FAA,8/20/2017 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
1AZ3,1,HELIPORT,00782.01*H,ARIZONA STATE PRISON - SAFFORD,Western-Pacific,AZ,GRAHAM,SAFFORD,32.82888889,-109.565,3000,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,11E,1995,,,,,,N,,Y-L,,,,,,00782.01*H,AZ,H1,120,120,ASPH,ASPH,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASPH
AZ44,1,HELIPORT,00782.02*H,MOUNT GRAHAM RGNL MEDICAL CENTER,Western-Pacific,AZ,GRAHAM,SAFFORD,32.82163889,-109.7358611,2959,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,,,,,,,,,,Y,,,,,,00782.02*H,AZ,H2,210,105,ASPH-CONC,ASPH,,,PERI,H2,,,,,,32.82163889,-109.7360278,2956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,4/29/2008 0:00,,,,,,,FAA-EST IMAGERY,9/14/2018 0:00,FAA-EST IMAGERY,9/14/2018 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASPH
AZ44,1,HELIPORT,00782.02*H,MOUNT GRAHAM RGNL MEDICAL CENTER,Western-Pacific,AZ,GRAHAM,SAFFORD,32.82163889,-109.7358611,2959,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,,,,,,,,,,Y,,,,,,00782.02*H,AZ,H1,210,105,ASPH-CONC,ASPH,,,PERI,H1,,,,,,32.82163889,-109.7356944,2956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,4/29/2008 0:00,,,,,,,FAA-EST,10/21/2018 0:00,FAA-EST IMAGERY,9/14/2018 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASPH
32AZ,1,HELIPORT,00788.03*H,SCOTTSDALE HEALTHCARE THOMPSON PEAK HOSP,Western-Pacific,AZ,MARICOPA,SCOTTSDALE,33.67,-111.9222222,1675,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,,,,,,,,,,Y,,,,,,00788.03*H,AZ,H1,60,60,CONC,CONC,,,,H1,,,,,,33.67,-111.9222222,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,12/5/2007 0:00,,,,,,,FAA-EST IMAGERY,1/12/2016 0:00,OWNER,12/5/2007 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
5AZ0,,HELIPORT,00788.05*H,LYON AVIATION ROOFTOP,Western-Pacific,AZ,MARICOPA,SCOTTSDALE,33.62527778,-111.9219444,1508,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,12E,1995,,,,,,N,,,,,,,,00788.05*H,AZ,H1,30,30,CONC,CONC,,,PERI,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
6AZ0,,HELIPORT,00788.06*H,LYON AVIATION SOUTH RAMP,Western-Pacific,AZ,MARICOPA,SCOTTSDALE,33.6245,-111.9213333,1455,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,,,,,,,,,,,,,,,,00788.06*H,AZ,H1,68,68,CONC,CONC,,,PERI,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,7/17/2008 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
7AZ0,,HELIPORT,00788.07*H,AVIATION RAMP AREA,Western-Pacific,AZ,MARICOPA,SCOTTSDALE,33.62513889,-111.9217222,1455,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,,,,,,,,,,,,,,,,00788.07*H,AZ,H1,155,155,CONC,CONC,,,PERI,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,1/6/2009 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
81AZ,,HELIPORT,00788.08*H,HANGAR 5,Western-Pacific,AZ,MARICOPA,SCOTTSDALE,33.63222222,-111.9066111,1500,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,,,,,,,,,,,,,,,,00788.08*H,AZ,H1,40,40,CONC,CONC,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,8/17/2009 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
AZ96,1,HELIPORT,00788.04*H,HONOR HEALTH SCOTTSDALE OSBORN MEDICAL CENTER,Western-Pacific,AZ,MARICOPA,SCOTTSDALE,33.488,-111.9223889,1375,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1985,,,,,,N,CGY,Y,,,,,,00788.04*H,AZ,H2,65,44,CONC-E,CONC,,,,H2,,,,,,33.48786111,-111.9225556,1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,11/9/2017 0:00,,,,,,,FAA-EST,10/21/2018 0:00,OWNER,6/15/2011 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
AZ96,1,HELIPORT,00788.04*H,HONOR HEALTH SCOTTSDALE OSBORN MEDICAL CENTER,Western-Pacific,AZ,MARICOPA,SCOTTSDALE,33.488,-111.9223889,1375,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1985,,,,,,N,CGY,Y,,,,,,00788.04*H,AZ,H1,65,44,CONC-E,CONC,,,,H1,,,,,,33.48813889,-111.9221944,1375,,,,,,,,,,,,,,,BLDG,M,,,26,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,11/9/2017 0:00,,,,,,,FAA-EST,10/21/2018 0:00,OWNER,6/15/2011 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
AZ96,1,HELIPORT,00788.04*H,HONOR HEALTH SCOTTSDALE OSBORN MEDICAL CENTER,Western-Pacific,AZ,MARICOPA,SCOTTSDALE,33.488,-111.9223889,1375,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1985,,,,,,N,CGY,Y,,,,,,00788.04*H,AZ,H3,98,54,CONC-E,CONC,,,,H3,,,,,,33.488,-111.9223611,1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,11/9/2017 0:00,,,,,,,FAA-EST,10/21/2018 0:00,OWNER,6/15/2011 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
5AZ8,1,HELIPORT,00788.31*H,SEDONA MEDICAL CAMPUS,Western-Pacific,AZ,YAVAPAI,SEDONA,34.85555556,-111.8233333,4456,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1995,,,,123,,N,,Y,,,,,,00788.31*H,AZ,H1,80,80,CONC,CONC,,,,H1,,,,,,34.85555556,-111.8233333,4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,4/2/2015 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
AZ75,1,HELIPORT,00794.12*H,SUMMIT HEALTHCARE RGNL MEDICAL CENTER,Western-Pacific,AZ,NAVAJO,SHOW LOW,34.20275,-110.0188056,6500,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,12E,1985,,,,,,N,,Y,,,,,,00794.12*H,AZ,H1,64,64,CONC,CONC,,,PERI,H1,,,,,,34.20275,-110.0188056,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2/20/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
AZ89,,HELIPORT,00794.17*H,SIERRA VISTA RGNL HEALTH CENTER,Western-Pacific,AZ,COCHISE,SIERRA VISTA,31.55186111,-110.2716389,4548,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,11E,1995,,,SEE RMK,,,N,CGY,Y,,,,,,00794.17*H,AZ,H1,60,60,CONC,CONC,,,,H1,,,,,,31.55186111,-110.2716389,4548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,1/3/2015 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
AR31,,HELIPORT,00801.01*H,C ANDREW LAIRD,Western-Pacific,AZ,MARICOPA,SUN CITY,33.61391667,-112.2729167,1140,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1985,,,,,,N,,N,,,,,,00801.01*H,AZ,H1,30,30,ASPH,ASPH,,,,H1,,,,,,33.61391667,-112.2729167,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,8/26/2017 0:00,FAA,8/20/2017 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASPH
AZ08,1,HELIPORT,00801.*H,BANNER BOSWELL MEMORIAL HOSPITAL,Western-Pacific,AZ,MARICOPA,SUN CITY,33.60258333,-112.2826944,1155,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,00E,2020,,N,,,,N,,Y,,,,,,00801.*H,AZ,H1,50,50,ASPH,ASPH,,,,H1,,,N,,,33.60258333,-112.2826944,1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA,5/9/2018 0:00,FAA,5/9/2018 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASPH
3AZ6,1,HELIPORT,00801.41*H,BANNER DEL E WEBB MEDICAL CENTER,Western-Pacific,AZ,MARICOPA,SUN CITY WEST,33.65933333,-112.3734722,1255,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1985,,,,,,N,,Y,,,,,,00801.41*H,AZ,H1,50,50,CONC,CONC,,,,H1,,,,,,33.65933333,-112.3734722,1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,12/29/2015 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
AZ15,0,HELIPORT,00801.89*H,LAVA FALLS,Western-Pacific,AZ,COCONINO,SUPAI VILLAGE,36.19163889,-113.0924167,1720,E,ZLA,ZCL,LOS ANGELES,PRC,PRESCOTT,N,14E,1985,,,,,,N,,N,,,,,,00801.89*H,AZ,H1,30,30,GRAVEL,GRAVEL,,,,H1,,,,,,36.19163889,-113.0924167,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,8/26/2017 0:00,FAA,8/20/2017 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAVEL
4AZ1,,HELIPORT,00802.41*H,MOULDER,Western-Pacific,AZ,MARICOPA,SURPRISE,33.75333333,-112.4163889,1521,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1995,,,,,,N,,Y,,,,,,00802.41*H,AZ,H1,30,30,GRVL,GRVL,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAVEL
3AZ7,,HELIPORT,00806.04*H,THE BUTTES IN TEMPE,Western-Pacific,AZ,MARICOPA,TEMPE,33.40336111,-111.9731944,1297,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1985,,,,,,N,,,,,,,,00806.04*H,AZ,H1,20,20,CONC,CONC,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
AZ59,,HELIPORT,00806.113*H,CROSS CUT,Western-Pacific,AZ,MARICOPA,TEMPE,33.44169444,-111.9501389,1180,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1985,,,,,,N,,Y-L,,,,,,00806.113*H,AZ,H1,20,20,CONC,CONC,,,,H1,,,,,,33.44169444,-111.9501389,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,8/27/2017 0:00,FAA,8/20/2017 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
AZ73,1,HELIPORT,00806.01*H,TEMPE ST LUKES HOSPITAL,Western-Pacific,AZ,MARICOPA,TEMPE,33.41308333,-111.9409444,1160,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1985,,,,,,N,,,,,,,,00806.01*H,AZ,H1,40,40,ASPH,ASPH,,,,H1,,,,,,33.41308333,-111.9409444,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,1/12/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASPH
1AZ1,,HELIPORT,00809.01*H,BOULAIS,Western-Pacific,AZ,MARICOPA,TOLLESON,33.51502778,-112.2559722,1060,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1980,,,,,,N,,,,,,,,00809.01*H,AZ,H1,100,100,ASPH,ASPH,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASPH
1AZ7,,HELIPORT,00809.02*H,S R P TOLLESON CENTER,Western-Pacific,AZ,MARICOPA,TOLLESON,33.44975,-112.2298611,1140,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1985,,,,,,N,,,,,,,,00809.02*H,AZ,H1,25,25,ASPH,ASPH,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASPH
4AZ4,0,HELIPORT,00810.01*H,FORT OMOTSE,Western-Pacific,AZ,COCHISE,TOMBSTONE,31.60055556,-110.0686111,4253,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,,,,,,,,,,Y,,,,,,00810.01*H,AZ,H1,20,20,GRVL,GRVL,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,2/19/2007 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAVEL
43AZ,0,HELIPORT,00810.28*H,MTAS 1,Western-Pacific,AZ,MARICOPA,TONOPAH,33.39794444,-113.2151389,1184,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,,,,,,,,,,Y,,,,,,00810.28*H,AZ,H1,50,50,CONC-TURF,CONC,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,2/3/2008 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
6AZ7,0,HELIPORT,00810.24*H,TOON TAIL,Western-Pacific,AZ,MARICOPA,TONOPAH,33.50277778,-112.7858333,1115,E,ZAB,ZCA,ALBUQUERQUE,PRC,PRESCOTT,N,13E,1995,,,,,,N,,Y,,,,,,00810.24*H,AZ,H1,175,60,TURF,TURF,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TURF
