,Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,DD_Latitudes,DD_Longitudes,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role
22,01818.*A,AIRPORT,LAX,3/24/2022,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,LOS ANGELES,LOS ANGELES INTL,PU,PU,CITY OF LOS ANGELES,1 WORLD WAY BOX 92216,"LOS ANGELES, CA 90009-2216",424-646-5292,VIJI PRASAD,ONE WORLD WAY,"LOS ANGELES, CA 90009",424-646-8251,33.94249639,-118.4080486,033-56-32.9900N,122192.9870N,118-24-28.9700W,0426268.9750W,E,127.8,S,12E,2020,,LOS ANGELES,9,SW,3500,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,LAX,Y,4/1/1940,O,I E S 05/1973,NGPY3,NO OBJECTION,Y,Y,,,F,F,2/28/2019,,A,MAJOR,MAJOR,HIGH,HIGH,,SS-SR,Y,122.95,,N,CG,,,,,0,,,,,379933,,23176,0,11282,354,7/31/2021,FAA-EST,3/25/2019,FAA,3/25/2019,,TIE,"AFRT,AVNCS,CARGO,CHTR",Y-L,KLAX,Large,
23,02078.*A,AIRPORT,RNM,3/24/2022,AWP,LAX,CA,CALIFORNIA,SAN DIEGO,CA,RAMONA,RAMONA,PU,PU,COUNTY OF SAN DIEGO,1960 JOE CROSSON DRIVE,"EL CAJON, CA 92020-1235",619-956-4800,MEADOW CHASE,2926 MONTECITO ROAD,"RAMONA, CA 92065",760-788-3366,33.03916667,-116.91525,033-02-21.0000N,118941.0000N,116-54-54.9000W,0420894.9000W,E,1394.6,S,12E,2010,,LOS ANGELES,2,W,342,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,RNM,Y,6/1/1947,O,,NGPY,NO OBJECTION,N,N,N,Y,S,S,9/14/2021,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.95,119.875,Y,CG,N,,115,9,1,3,0,0,2,0,,0,94236,50018,725,12/31/2020,NGS,2/1/2009,NGS,2/1/2009,,TIE,"INSTR,RNTL,SALES",Y-L,KRNM,,Regional
24,02126.*A,AIRPORT,MHR,3/24/2022,AWP,SFO,CA,CALIFORNIA,SACRAMENTO,CA,SACRAMENTO,SACRAMENTO MATHER,PU,PU,COUNTY OF SACRAMENTO,6900 AIRPORT BLVD.,"SACRAMENTO, CA 95837",916-875-7077,JOHN PIRES,10425 NORDEN AVE,"MATHER, CA 95655",916-875-6760,38.55531083,-121.2972114,038-33-19.1200N,138799.1190N,121-17-49.9600W,0436669.9610W,E,98.3,S,13E,2020,,SAN FRANCISCO,10,E,2875,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,MHR,Y,7/1/1942,O,,N,NOT ANALYZED,N,N,,Y,S,S,1/12/2021,9/9/1976,100LL A,MAJOR,MAJOR,,LOW,SEE RMK,SS-SR,Y,122.95,120.65,N,CG,N,,10,1,0,0,0,41,0,4781,,12493,13713,36778,31702,12/31/2018,3RD PARTY SURVEY,12/22/2017,3RD PARTY SURVEY,12/22/2017,,"HGR,TIE","AFRT,CARGO",Y-L,KMHR,,National
25,02137.*A,AIRPORT,SNS,3/24/2022,AWP,SFO,CA,CALIFORNIA,MONTEREY,CA,SALINAS,SALINAS MUNI,PU,PU,CITY OF SALINAS,200 LINCOLN AVE,"SALINAS, CA 93901",831-758-7214,BRETT J. GODOWN,30 MORTENSEN AVE,"SALINAS, CA 93905",831-758-7214,36.6627865,-121.6063664,036-39-46.0300N,131986.0314N,121-36-22.9200W,0437782.9191W,E,84.3,S,16E,1980,800,SAN FRANCISCO,3,SE,605,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,OAK,OAKLAND,,1-800-WX-BRIEF,,,,SNS,Y,6/1/1942,O,,NGPY,NO OBJECTION,N,N,N,Y,S,S,9/29/2021,,100LL A,MAJOR,MAJOR,HIGH,NONE,SEE RMK,SS-SR,Y,122.95,119.525,N,CG,N,,141,9,4,4,3,0,0,,,1335,31500,36775,500,12/10/2019,FAA-EST,6/19/2012,3RD PARTY SURVEY,7/3/2011,,"HGR,TIE","AGRI,CHTR,INSTR,RNTL,SALES",Y-L,KSNS,,Regional
26,02170.*A,AIRPORT,SAN,3/24/2022,AWP,LAX,CA,CALIFORNIA,SAN DIEGO,CA,SAN DIEGO,SAN DIEGO INTL,PU,PU,SAN DIEGO CNTY REG ARPT AUTHORITY,3225 N HARBOR DRIVE,"SAN DIEGO, CA 92101-1022",(619) 400-2400,DEAN ROBBINS,3225 N HARBOR DRIVE,"SAN DIEGO, CA 92101-1022",619-400-2718,32.73355556,-117.1896667,032-44-00.8000N,117840.8000N,117-11-22.8000W,0421882.8000W,E,16.8,E,11E,2020,,LOS ANGELES,2,W,663,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,SAN,Y,4/1/1940,O,I D S 05/1973,NGSY,NO OBJECTION,Y,Y,N,Y,F,F,6/10/2019,,100LL A,MINOR,MINOR,NONE,HIGH/LOW,,SS-SR,Y,,,N,CG,N,,,0,12,0,,,,203913,,12720,0,10399,773,4/30/2019,3RD PARTY SURVEY,8/20/2011,3RD PARTY SURVEY,8/20/2011,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,RNTL,SURV",Y-L,KSAN,Large,
27,02407.*A,AIRPORT,VCV,3/24/2022,AWP,LAX,CA,CALIFORNIA,SAN BERNARDINO,CA,VICTORVILLE,SOUTHERN CALIFORNIA LOGISTICS,PU,PU,SOUTHERN CA LOGISTICS ARPT AUTH,18374 PHANTOM,"VICTORVILLE, CA 92394",760-243-1900,C. ERIC RAY,"SO CAL LOGISTICS AIRPORT AUTHORITY, 18374 PHANTOM WEST","VICTORVILLE, CA 92394",760-243-1915,34.59747222,-117.383,034-35-50.9000N,124550.9000N,117-22-58.8000W,0422578.8000W,E,2885.1,S,14E,1995,,LOS ANGELES,5,NW,2300,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,RAL,RIVERSIDE,,1-800-WX-BRIEF,,,,VCV,Y,9/1/1943,O,IV A U 03/1995,NGY,NOT ANALYZED,Y,Y,N,Y,S,F,11/6/2019,,100LL A,MAJOR,MAJOR,,,SEE RMK,SS-SR,Y,,118.35,Y,CG,N,,1,0,43,3,0,0,0,796,,2644,5000,4119,4423,7/31/2021,NGS,12/19/2006,NGS,12/19/2006,,TIE,"AFRT,AMB,CARGO",Y-L,KVCV,,Regional
28,02356.1*A,AIRPORT,TOA,3/24/2022,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,TORRANCE,ZAMPERINI FLD,PU,PU,CITY OF TORRANCE,3031 TORRANCE BLVD,"TORRANCE, CA 90503",310-784-7900,RAFAEL HERRERA,"CITY OF TORRANCE, 3301 AIRPORT DRIVE","TORRANCE, CA 90505",310-784-7914,33.80338286,-118.3396076,033-48-12.1800N,121692.1783N,118-20-22.5900W,0426022.5875W,E,103.2,S,14E,1970,,LOS ANGELES,3,SW,506,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,TOA,Y,,O,,NY1,NO OBJECTION,N,N,N,Y,S,S,9/20/2016,,100LL,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,124,Y,CG,N,Y,247,23,1,5,3,0,0,28,,348,55144,63040,474,1/31/2016,FAA,3/16/2016,NGS,1/27/2009,,TIE,"AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KTOA,,Regional
29,02651.*A,AIRPORT,LHX,3/24/2022,ANM,DEN,CO,COLORADO,OTERO,CO,LA JUNTA,LA JUNTA MUNI,PU,PU,CITY OF LA JUNTA,PO BOX 489,"LA JUNTA, CO 81050",719-384-8454,BILL JACKSON,P O BOX 489,"LA JUNTA, CO 81050",(719) 384-2698,38.05,-103.50975,038-03-00.0000N,136980.0000N,103-30-35.1000W,0372635.1000W,E,4228.6,S,09E,2005,,WICHITA,3,N,4200,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,LHX,Y,4/1/1940,O,,NGPY,NO OBJECTION,N,N,N,Y,S,S,7/15/2020,,100LL A,,,NONE,,SEE RMK,SS-SR,N,123,123,Y,CG,N,,14,0,0,1,0,0,0,,,,116,8140,376,12/31/2019,NGS,11/29/2007,NGS,11/29/2007,,"HGR,TIE","AGRI,AMB,INSTR",Y-L,KLHX,,Local
30,02660.1*A,AIRPORT,LXV,3/24/2022,ANM,DEN,CO,COLORADO,LAKE,CO,LEADVILLE,LAKE COUNTY,PU,PU,COUNTY COMMISSIONER,LAKE COUNTY COURTHOUSE,"LEADVILLE, CO 80461",719-486-4181,BRETT COTTRELL,"915 CR 23, BOX 952","LEADVILLE, CO 80461",719-486-0307,39.21947222,-106.3164167,039-13-10.1000N,141190.1000N,106-18-59.1000W,0382739.1000W,E,9933.5,S,09E,2020,,DENVER,2,SW,605,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,LXV,Y,1/1/1962,O,,NGSY,NO OBJECTION,N,N,N,Y,S,S,9/27/2018,,100LL A,,,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,5,0,0,0,0,0,0,,,200,1800,1000,2000,5/18/2018,3RD PARTY SURVEY,10/27/2009,3RD PARTY SURVEY,10/27/2009,,"HGR,TIE",CHTR,Y-L,KLXV,,Basic
31,02967.*A,AIRPORT,DOV,3/24/2022,AEA,HAR,DE,DELAWARE,KENT,DE,DOVER,DOVER AFB,MA,PU,USAF,DOVER AFB,"DOVER, DE 19901",,CHIEF AFLD MANAGEMENT/ MR HETTEROTH,DOVER AFB,"DOVER, DE 19901",302-677-4183,39.12953889,-75.46596111,039-07-46.3400N,140866.3400N,075-27-57.4600W,0271677.4600W,E,28.9,E,12W,2020,,WASHINGTON,3,E,,ZDC,ZCW,WASHINGTON,ZDC,ZCW,WASHINGTON,N,MIV,MILLVILLE,,1-800-WX-BRIEF,,,,DOV,Y,,O,IV A U 11/2005,,NOT ANALYZED,Y,,Y,N,,F,6/29/2006,2/7/2012,A+ J8,MAJOR,MAJOR,LOW,LOW,,SS-SR,Y,,,N,CG,,,,,,,,,,,,,,,124000,,MILITARY,5/3/2013,MILITARY,6/10/2016,,HGR,CARGO,,KDOV,,
32,03052.*A,AIRPORT,BOW,3/24/2022,ASO,ORL,FL,FLORIDA,POLK,FL,BARTOW,BARTOW EXEC,PU,PU,BARTOW MUNI ARPT DVLPMNT AUTH,PO BOX 650,"BARTOW, FL 33831-0650",863-533-1195,"JOHN B. HELMS, II",5993 AIRPORT BLVD,"BARTOW, FL 33830",863-533-1195,27.94336111,-81.78341667,027-56-36.1000N,100596.1000N,081-47-00.3000W,0294420.3000W,E,124.8,S,04W,1995,,MIAMI,4,NE,1846,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,BOW,Y,2/1/1944,O,,NGPRY3,NO OBJECTION,N,N,N,Y,S,S,7/24/2018,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.95,121.2,Y-L,CG,N,,130,15,3,7,1,0,0,,,1388,22228,25005,48,1/1/2021,3RD PARTY SURVEY,5/12/2006,3RD PARTY SURVEY,5/12/2006,,"HGR,TIE","AMB,AVNCS,INSTR,RNTL,SALES,SURV",Y-L,KBOW,,Regional
33,03250.3*A,AIRPORT,VQQ,3/24/2022,ASO,ORL,FL,FLORIDA,DUVAL,FL,JACKSONVILLE,CECIL,PU,PU,JACKSONVILLE AVIATION AUTHORITY,14201 PECAN PARK ROAD,"JACKSONVILLE, FL 32218-0018",(904) 741-2013,TIM COX,13365 SIMPSON WAY,"JACKSONVILLE, FL 32221-5522",904-573-1617,30.21877778,-81.87716667,030-13-07.6000N,108787.6000N,081-52-37.8000W,0294757.8000W,E,79.6,S,05W,2000,,JACKSONVILLE,0,N,6082,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,VQQ,Y,,O,,N,NO OBJECTION,,,,Y,S,S,2/5/2018,8/13/1976,100LL A1+,MAJOR,MAJOR,HIGH/LOW,HIGH,SEE RMK,SS-SR,Y,,126.1,N,CG,,,12,1,1,1,0,69,0,744,,346,32567,16805,53899,2/5/2018,3RD PARTY SURVEY,8/28/2011,3RD PARTY SURVEY,8/28/2011,,TIE,"AVNCS,INSTR",Y-L,KVQQ,,Regional
34,03132.*A,AIRPORT,CTY,3/24/2022,ASO,ORL,FL,FLORIDA,DIXIE,FL,CROSS CITY,CROSS CITY,PU,PU,DIXIE COUNTY,"COUNTY COURTHOUSE  P.O. BOX 2600, P.O. BOX 2600","CROSS CITY, FL 32628",352-498-1206,CLINT BEAUCHAMP,"CROSS CITY AIRPORT, 508 NE 241 ST","CROSS CITY, FL 32628",352-498-6656,29.63552778,-83.10475,029-38-07.9000N,106687.9000N,083-06-17.1000W,0299177.1000W,E,42.1,S,05W,2010,,JACKSONVILLE,1,E,591,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,GNV,Y,4/1/1940,O,,NP3,NO OBJECTION,N,N,N,Y,S,S,4/5/2018,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,7,1,2,1,0,0,0,,,,3600,14400,,4/5/2018,NGS,7/20/1998,NGS,7/20/1998,,"HGR,TIE",,Y-L,KCTY,,Basic
35,03147.*A,AIRPORT,DAB,3/24/2022,ASO,ORL,FL,FLORIDA,VOLUSIA,FL,DAYTONA BEACH,DAYTONA BEACH INTL,PU,PU,VOLUSIA COUNTY,123 W INDIANA AVE,"DELAND, FL 32720-4612",386-248-8030,"MS KAREN K FEASTER, AAE, IACE, ACE","700 CATALINA DR, SUITE 300, DAYTONA BEACH INTL ARPT","DAYTONA BEACH, FL 32114",386-248-8030,29.17990889,-81.05804222,029-10-47.6700N,105047.6720N,081-03-28.9500W,0291808.9520W,E,34.2,S,05W,2000,965,JACKSONVILLE,3,SW,1800,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,DAB,Y,4/1/1940,O,I C S 05/1973,NGPRY3,NO OBJECTION,N,N,N,Y,F,F,10/5/2021,,100LL A,MAJOR,MAJOR,NONE,HIGH,SS-SR,SS-SR,Y,122.95,,N,CG,N,,167,40,29,2,,,,6752,,131154,184586,39862,1717,9/30/2021,3RD PARTY SURVEY,6/5/2017,3RD PARTY SURVEY,6/5/2017,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SURV",Y-L,KDAB,Non-Hub,
36,03535.03*A,AIRPORT,EGI,3/24/2022,ASO,ORL,FL,FLORIDA,OKALOOSA,FL,CRESTVIEW,"DUKE FLD,(EGLIN AF AUX NR 3)",MA,PR,USAF,"DEPT OF THE AF, HQ ADTC","EGLIN AFB, FL 32542",,,"DEPT OF THE AF, HQ ADTC","EGLIN AFB, FL 32542",904-882-2013,30.64858694,-86.52195936,030-38-54.9100N,110334.9130N,086-31-19.0500W,0311479.0537W,E,195.3,S,02W,2010,,NEW ORLEANS,3,W,,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,GNV,Y,,O,,,NOT ANALYZED,N,N,N,N,,N,,4/16/2015,,NONE,NONE,NONE,LOW,SS-SR,SS-SR,Y,,,N,SCG,N,,,,,,,,,,,,,,66000,,MILITARY,5/1/2011,MILITARY,5/1/2011,,,,Y,KEGI,,
37,03534.*A,AIRPORT,VPS,3/24/2022,ASO,ORL,FL,FLORIDA,OKALOOSA,FL,VALPARAISO/DESTIN-FT WALTON BEACH,EGLIN AFB/DESTIN-FT WALTON BEACH,MA,PU,USAF,DEPT OF THE AF HDQRTS AFMC,"EGLIN AFB, FL 32542",850-882-5313,TRACY STAGE,1701 STATE ROAD 85N,"EGLIN AFB, FL 32542",850-651-7160,30.48321942,-86.52604433,030-28-59.5900N,109739.5899N,086-31-33.7600W,0311493.7596W,E,84,S,00E,2000,,NEW ORLEANS,1,SW,6500,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,VPS,Y,3/1/1941,O,I C S 05/1973,NGY,,N,N,Y,N,,F,3/9/2021,4/26/2016,A,NONE,NONE,NONE,NONE,SS-SR,SS-SR,Y,,,N,CG,N,,0,,2,,,,,13219,,0,0,,,2/28/2021,FAA-EST,10/28/2009,MILITARY,7/10/2003,,,,Y,KVPS,Small,
38,03192.*A,AIRPORT,FLL,3/24/2022,ASO,ORL,FL,FLORIDA,BROWARD,FL,FORT LAUDERDALE,FORT LAUDERDALE/HOLLYWOOD INTL,PU,PU,BROWARD COUNTY,"115 S. ANDREWS AVENUE, ROOM 421","DANIA BEACH, FL 33312-1872",954-359-6100,MARK GALE,320 TERMINAL DRIVE SUITE 200,"FORT LAUDERDALE, FL 33315",954-359-6100,26.07166667,-80.14969444,026-04-18.0000N,093858.0000N,080-08-58.9000W,0288538.9000W,E,65,S,06W,2015,,MIAMI,3,SW,1380,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,MIA,MIAMI,,1-800-WX-BRIEF,,,,FLL,Y,4/1/1940,O,I E S 05/1973,NGPSY,NO OBJECTION,Y,Y,N,Y,F,F,2/4/2022,,100LL A,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,N,CG,N,,15,21,43,1,,,,213994,,28566,,33801,906,12/31/2021,3RD PARTY SURVEY,1/27/2016,3RD PARTY SURVEY,1/27/2016,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV",Y,KFLL,Large,
39,03407.*A,AIRPORT,MCO,3/24/2022,ASO,ORL,FL,FLORIDA,ORANGE,FL,ORLANDO,ORLANDO INTL,PU,PU,GREATER ORLANDO AVIATION AUTHORITY,1 JEFF FUQUA BLVD,"ORLANDO, FL 32827-4399",407-825-2001,"PHILLIP N.  BROWN, A.A.E.",1 JEFF FUQUA BLVD,"ORLANDO, FL 32827-4399",407-825-7445,28.42938889,-81.309,028-25-45.8000N,102345.8000N,081-18-32.4000W,0292712.4000W,E,96.4,S,06W,2015,,JACKSONVILLE,6,SE,12600,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,MCO,Y,6/1/1941,O,I E S 05/1973,NGPY,NO OBJECTION,N,Y,N,Y,F,F,2/7/2020,,100LL A,MINOR,MINOR,NONE,NONE,SS-SR,SS-SR,Y,122.95,,N,CG,N,,2,3,30,3,,0,,337510,,13512,4,14648,495,12/31/2019,3RD PARTY SURVEY,3/7/2012,3RD PARTY SURVEY,3/7/2012,,"HGR,TIE","AFRT,CARGO",Y-L,KMCO,Large,
40,03407.1*A,AIRPORT,SFB,3/24/2022,ASO,ORL,FL,FLORIDA,SEMINOLE,FL,ORLANDO,ORLANDO SANFORD INTL,PU,PU,SANFORD ARPT AUTHORITY,"1200 RED CLEVELAND BLVD, SUITE #200","SANFORD, FL 32773-0818",407-585-4000,THOMAS NOLAN,1200 RED CLEVELAND BLVD,"SANFORD, FL 32773",407-585-4015,28.77717806,-81.23491389,028-46-37.8400N,103597.8410N,081-14-05.6900W,0292445.6900W,E,54.9,S,05W,2000,,JACKSONVILLE,16,NE,3000,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,SFB,Y,2/1/1943,O,I D S 02/1989,NGPY,NO OBJECTION,Y,N,N,Y,F,F,1/12/2022,,100LL A,MAJOR,MAJOR,HIGH,NONE,SEE RMK,SS-SR,Y,,120.3,Y,CG,N,,221,35,23,5,,2,,19567,,47715,89051,23529,499,12/31/2021,FAA,12/20/2018,3RD PARTY SURVEY,7/30/2013,,"HGR,TIE","AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KSFB,Small,
41,03121.*A,AIRPORT,COF,3/24/2022,ASO,ORL,FL,FLORIDA,BREVARD,FL,COCOA BEACH,PATRICK SPACE FORCE BASE,MA,PR,USAF,"DEPT OF THE AF,HDQRTS ADTC","EGLIN AFB, FL 32542",,CHIEF OF AFLD MANAGEMENT,DEPT OF THE AF HEADQUARTERS  ADTC,"EGLIN AFB, FL 32542",321-494-2222,28.23500667,-80.60997806,028-14-06.0200N,101646.0240N,080-36-35.9200W,0290195.9210W,E,8,S,07W,2020,,JACKSONVILLE,3,S,,ZMA,ZCR,MIAMI,ZJX,ZCJ,JACKSONVILLE,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,PIE,Y,2/1/1944,O,,,NOT ANALYZED,N,N,N,N,,N,,10/1/2021,A++,NONE,NONE,NONE,HIGH/LOW,,SS-SR,Y,,,N,CG,N,,,,,,,,,,,,,,27254,,FAA-EST,5/5/2021,MILITARY,9/28/2011,,,,Y,KCOF,,
42,03513.1*A,AIRPORT,VDF,3/24/2022,ASO,ORL,FL,FLORIDA,HILLSBOROUGH,FL,TAMPA,TAMPA EXEC,PU,PU,HILLSBOROUGH COUNTY AVIATION AUTH,PO BOX 22287,"TAMPA, FL 33622",(813) 870-8776,"BRETT W FAY, C.M.",PO BOX 22287,"TAMPA, FL 33622",(813) 870-8735,28.01398722,-82.34525917,028-00-50.3500N,100850.3540N,082-20-42.9300W,0296442.9330W,E,21.1,S,04W,2000,,JACKSONVILLE,6,E,411,ZJX,ZCJ,JACKSONVILLE,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,VDF,Y,5/1/1957,O,,NGY,CONDITIONAL,N,N,N,N,S,S,12/13/2017,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.7,122.7,Y-L,CG,N,,147,19,5,5,0,0,0,,,520,50040,44000,30,12/13/2017,FAA-EST,11/16/2018,3RD PARTY SURVEY,1/16/2012,,"HGR,TIE","AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KVDF,,Regional
43,03513.*A,AIRPORT,TPA,3/24/2022,ASO,ORL,FL,FLORIDA,HILLSBOROUGH,FL,TAMPA,TAMPA INTL,PU,PU,HILLSBOROUGH CO AVN AUTHORITY,PO BOX 22287,"TAMPA, FL 33622",813-870-8700,JOHN TILIACOS,PO BOX 22287,"TAMPA, FL 33622",813-870-8700,27.97547222,-82.53325,027-58-31.7000N,100711.7000N,082-31-59.7000W,0297119.7000W,E,26.4,S,05W,2010,,MIAMI,6,W,3300,ZJX,ZCJ,JACKSONVILLE,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,TPA,Y,4/1/1940,O,I D S 05/1973,NGPRY,NO OBJECTION,Y,Y,N,Y,F,F,5/19/2021,,100LL A,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,Y,CG,N,,9,7,57,6,,,,117509,,15924,38,17706,809,5/31/2021,3RD PARTY SURVEY,11/23/2013,3RD PARTY SURVEY,11/23/2013,,"HGR,TIE","AVNCS,CARGO,CHTR",Y-L,KTPA,Large,
44,03430.*A,AIRPORT,PAM,3/24/2022,ASO,ORL,FL,FLORIDA,BAY,FL,PANAMA CITY,TYNDALL AFB,MA,PR,USAF,DEPT OF THE AF HDQRTS ADC,"TYNDALL AFB, FL 32401",,CHIEF OF AFLD MANAGEMENT,DEPT OF THE AF HDQRTS ADC,"TYNDALL AFB, FL 32401",,30.0690475,-85.57498139,030-04-08.5700N,108248.5710N,085-34-29.9300W,0308069.9330W,E,17.4,S,04W,2015,,NEW ORLEANS,6,SE,,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,PAM,Y,,O,,,NOT ANALYZED,N,N,N,N,,N,,9/9/1976,A++,NONE,NONE,HIGH/LOW,HIGH/LOW,,SS-SR,Y,,,N,CG,N,,,,,,,,,,,,,,124000,,MILITARY,11/21/2016,MILITARY,4/1/2013,,,,Y,KPAM,,
45,51510.2*A,AIRPORT,UAM,3/24/2022,AWP,HNL,GU,GUAM,GUAM,GU,YIGO,ANDERSEN AFB,MA,PR,USAF,3 AD,"ANDERSEN AFB, GUAM 69912",,MAJOR BILLY G TOWLES,3 AD,"ANDERSEN AFB, GUAM 69912",,13.58388611,144.9300556,013-35-01.9900N,048901.9900N,144-55-48.2000E,0521748.2000E,E,617.4,S,02E,1980,,GNC 7,0,N,,ZUA,ZUA,GUAM,ZUA,ZUA,GUAM,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,PGUA,Y,,O,,,NOT ANALYZED,Y,N,N,N,,N,,7/15/1976,,NONE,NONE,NONE,LOW,,SS-SR,Y,,,N,CG,N,,,,,,,,,,,,,,,,MILITARY,8/7/2012,MILITARY,8/7/2012,,HGR,CARGO,Y,PGUA,,
