,Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role,DD_Latitudes,DD_Longitudes
26,23660.*A,AIRPORT,NGP,2022-03-24,ASW,TEX,TX,TEXAS,NUECES,TX,CORPUS CHRISTI,CORPUS CHRISTI NAS/TRUAX FLD,MN,PR,US NAVY,OCEANOGRAPHIC OFC-CODE 3142,"WASHINGTON, DC 20373",,COMMANDING OFFICER/AIRFIELD OPS,NAVAL AIR STATION,"CORPUS CHRISTI, TX 78419",361-961-3395,027-41-33.7200N,099693.7220N,097-17-25.3600W,0350245.3580W,E,18.7,S,03E,2020,,BROWNSVILLE,6,SE,,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,NGP,Y,1943-07-01,O,,,,,,,N,,N,,1976-08-13,,,,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,,134.85,N,SCG,,,,,,,,,,,,,,,,,MILITARY,2013-03-05,MILITARY,2013-03-05,,,,,KNGP,,,27.692700555555554,-97.29037722222222
27,23286.*A,AIRPORT,DYS,2022-03-24,ASW,TEX,TX,TEXAS,TAYLOR,TX,ABILENE,DYESS AFB,MA,PR,USAF,DYESS AFB,"ABILENE, TX 79607",,COMMANDER,DYESS AFB,"ABILENE, TX 79607",,032-25-06.5200N,116706.5153N,099-51-23.5600W,0359483.5608W,E,1790.3,S,05E,2015,,DALLAS-FT WORTH,5,SW,,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,FTW,Y,,O,,,,,,N,N,,N,,2021-10-01,A+,MAJOR,MAJOR,NONE,LOW,SS-SR,SS-SR,Y,,,N,CG,,,,,,,,2.0,,,,,,,,,FAA-EST,2012-10-11,MILITARY,2014-12-09,,,,Y,KDYS,,,32.41847647222222,-99.85654466666665
28,23431.01*A,AIRPORT,NGT,2022-03-24,ASW,TEX,TX,TEXAS,GOLIAD,TX,BERCLAIR,GOLIAD NOLF,MN,PR,U.S. NAVY,"11001 D STREET SUITE 101, NAVAL AIR STATION","CORPUS CHRISTI, TX 78419",361-961-2505,DARNELL DAVIS,"11001 D STREET SUITE 101, NAVAL AIR STATION","CORPUS CHRISTI, TX 78419",361-961-2247,028-36-41.7900N,103001.7897N,097-36-45.2500W,0351405.2533W,E,322.0,E,07E,1985,,SAN ANTONIO,5,N,1136.0,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,SJT,Y,2000-09-01,O,,,NO OBJECTION,,,,N,S,C,2011-03-20,2012-12-14,,,,NONE,NONE,SEE RMK,,N,,132.875,N,,,,,,,,,,,,,,,,,2011-03-20,FAA-EST,2012-04-22,MILITARY,2012-08-22,,,,Y-L,KNGT,,,28.61160825,-97.6125703611111
29,24166.*A,AIRPORT,NQI,2022-03-24,ASW,TEX,TX,TEXAS,KLEBERG,TX,KINGSVILLE,KINGSVILLE NAS,MN,PR,U S NAVY,OCEANOGRAPHIC OFC-CODE 3142,"WASHINGTON, DC 20373",,COMMANDING OFFICER,NAVAL AIR STATION,"KINGSVILLE, TX 78363",363-516-6124,027-30-16.2500N,099016.2520N,097-48-29.8400W,0352109.8420W,E,50.0,S,04E,2010,,BROWNSVILLE,3,E,,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,SJT,Y,1943-07-01,O,,,,,,,N,,N,,2020-07-06,,,,NONE,LOW,SEE RMK,SS-SR,Y,,,N,SCG,,,,,,,,,,,,,,,,,MILITARY,2017-04-22,MILITARY,2017-04-22,,,,,KNQI,,,27.504514444444442,-97.80828944444444
30,23744.*A,AIRPORT,DLF,2022-03-24,ASW,TEX,TX,TEXAS,VAL VERDE,TX,DEL RIO,LAUGHLIN AFB,MA,PR,USAF,LAUGHLIN AFB,"DEL RIO, TX 78840",,COMMANDER,LAUGHLIN AFB,"DEL RIO, TX 78840",830-298-5308,029-21-33.8200N,105693.8160N,100-46-40.4900W,0362800.4870W,E,1081.0,E,07E,2005,,SAN ANTONIO,5,E,,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,DLF,Y,1943-07-01,O,,,NOT ANALYZED,,,,N,,N,,1976-09-09,,MAJOR,MAJOR,,,SS-SR,SS-SR,Y,,,N,CG,,,,,,,,2.0,,,,,,,,,FAA-EST,2010-10-28,MILITARY,2012-10-03,,,,Y,KDLF,,,29.359393333333337,-100.77791305555556
31,24446.*A,AIRPORT,NOG,2022-03-24,ASW,TEX,TX,TEXAS,JIM WELLS,TX,ORANGE GROVE,ORANGE GROVE NALF,MN,PR,US NAVY,OCEANOGRAPHIC OFC - CODE 3142,"WASHINGTON, DC 20373",,,,,,027-53-48.5500N,100428.5454N,098-02-36.8000W,0352956.8049W,E,257.2,S,05E,2010,,BROWNSVILLE,8,N,,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,SJT,Y,,O,,,,,,,N,,N,,1975-12-04,,,,NONE,NONE,SEE RMK,SS-SR,Y,,,N,SCG,,,,,,,,,,,,,,,,,MILITARY,2017-04-23,MILITARY,2017-04-23,,,,,KNOG,,,27.896818166666666,-98.04355691666666
32,24949.*A,AIRPORT,RND,2022-03-24,ASW,TEX,TX,TEXAS,BEXAR,TX,UNIVERSAL CITY,RANDOLPH AFB,MA,PR,U.S. AIR FORCE,RANDOLPH AFB,"UNIVERSITY CITY, TX 78148",,COMMANDING OFFICER,RANDOLPH AFB,"UNIVERSITY CITY, TX 78148",,029-31-44.0600N,106304.0630N,098-16-40.9100W,0353800.9100W,E,760.9,S,05E,2010,,SAN ANTONIO,13,NE,,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,RND,Y,1937-09-01,O,,,NOT ANALYZED,,,,N,,N,,1976-09-09,,MINOR,NONE,NONE,HIGH/LOW,SS-SR,SS-SR,Y,,,N,CG,,,,,,,,,,,,,,,,,MILITARY,2019-11-14,MILITARY,2019-11-14,,HGR,CARGO,,KRND,,,29.528906388888885,-98.27803055555555
33,25232.*A,AIRPORT,HIF,2022-03-24,ANM,DEN,UT,UTAH,DAVIS,UT,OGDEN,HILL AFB,MA,PR,USAF,"2849TH AB GP/OT, HILL AFB","OGDEN, UT 84401",,BASE OPERATIONS,"2849TH AB GP/OT, HILL AFB","OGDEN, UT 84401",801-777-1861,041-07-26.1800N,148046.1840N,111-58-23.0000W,0403103.0030W,E,4789.0,S,14E,2000,,SALT LAKE CITY,6,S,,ZLC,ZCU,SALT LAKE CITY,ZLC,ZCU,SALT LAKE CITY,N,CDC,CEDAR CITY,,1-800-WX-BRIEF,,,,HIF,Y,1943-08-01,O,,,NOT ANALYZED,,,N,N,,N,,2012-10-09,,MAJOR,MAJOR,NONE,HIGH/LOW,SS-SR,SS-SR,Y,,,N,CG,,,,,,,,,,,,,,,,,MILITARY,2019-11-04,MILITARY,2015-06-17,,,,Y,KHIF,,,41.123940000000005,-111.97305638888889
34,26043.11*A,AIRPORT,NTU,2022-03-24,AEA,DCA,VA,VIRGINIA,VIRGINIA BEACH,VA,VIRGINIA BEACH,OCEANA NAS (APOLLO SOUCEK FLD),MN,PR,U.S. NAVY,OCEANOGRAPHIC OFC-CODE 3142,"WASHINGTON, DC 20373",,COMMANDING OFFICER,NAVAL AIR STATION OCEANA,"VIRGINIA BEACH, VA 23460",,036-49-21.8800N,132561.8850N,076-01-54.8200W,0273714.8210W,E,21.7,S,10W,1990,,WASHINGTON,3,SW,,ZDC,ZCW,WASHINGTON,ZDC,ZCW,WASHINGTON,N,NTU,LEESBURG,,,,,,NTU,Y,1943-08-01,O,,,,,,N,N,,N,,1976-08-13,,,,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,,,N,SCG,,,,,,,,,,,,,,,,,MILITARY,2020-11-01,MILITARY,2020-11-01,,,,,KNTU,,,36.822745833333336,-76.03189472222222
35,25959.*A,AIRPORT,NYG,2022-03-24,AEA,DCA,VA,VIRGINIA,STAFFORD,VA,QUANTICO,QUANTICO MCAF (TURNER FLD),MN,PR,US NAVY,OCEANOGRAPHIC OFC-CODE 3142,"WASHINGTON, DC 20373",,COMMANDING OFFICER,MARINE CORPS AIR STATION,"QUANTICO, VA 22134",703-784-2084,038-30-13.0500N,138613.0490N,077-18-18.1200W,0278298.1180W,E,11.0,S,11W,2020,,WASHINGTON,1,S,,ZDC,ZCW,WASHINGTON,ZDC,ZCW,WASHINGTON,N,DCA,LEESBURG,,1-800-WX-BRIEF,,,,DCA,Y,1944-01-01,O,,,,,,,N,,N,,1976-08-13,A1+,,,NONE,HIGH,SEE RMK,SS-SR,Y,,118.6,N,SCG,,,,,,,,,,,,,,,,,MILITARY,2021-10-26,MILITARY,2020-07-29,,,,,KNYG,,,38.50362472222222,-77.30503277777778
